조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
"		108",서울,2024-07-01,8.3,56.5,24.69
"		108",서울,2024-07-02,0,0,1.93
"		108",서울,2024-07-03,0.6,4.1,8.91
"		108",서울,2024-07-04,3.4,23.1,18.81
"		108",서울,2024-07-05,1.4,9.5,11.25
"		108",서울,2024-07-06,0.1,0.7,6.84
"		108",서울,2024-07-07,0.6,4.1,11.09
"		108",서울,2024-07-08,0,0,3.36
"		108",서울,2024-07-09,0.1,0.7,7.77
"		108",서울,2024-07-10,7.1,48.6,20.04
"		108",서울,2024-07-11,5.9,40.4,21.74
"		108",서울,2024-07-12,3.7,25.3,13.33
"		108",서울,2024-07-13,9.9,68.3,23.54
"		108",서울,2024-07-14,7.6,52.4,22.34
"		108",서울,2024-07-15,6.3,43.4,18.13
"		108",서울,2024-07-16,4.2,29,12.32
"		108",서울,2024-07-17,0.1,0.7,3.48
"		108",서울,2024-07-18,0,0,2.47
"		108",서울,2024-07-19,6.4,44.4,21.69
"		108",서울,2024-07-20,1.9,13.2,13.42
"		108",서울,2024-07-21,1.5,10.4,11.48
"		108",서울,2024-07-22,0,0,4.09
"		108",서울,2024-07-23,0,0,4.92
"		108",서울,2024-07-24,3,21,15.31
"		108",서울,2024-07-25,2.4,16.8,14.15
"		108",서울,2024-07-26,6.7,46.9,18.29
"		108",서울,2024-07-27,1.7,12,12.73
"		108",서울,2024-07-28,5.1,35.9,18.33
"		108",서울,2024-07-29,0,0,2.61
"		108",서울,2024-07-30,3.6,25.5,15.95
"		108",서울,2024-07-31,4.7,33.3,17.42
"		108",서울,2024-08-01,3.6,25.5,14.95
"		108",서울,2024-08-02,2.4,17.1,10.36
"		108",서울,2024-08-03,7.8,55.7,21.64
"		108",서울,2024-08-04,10.9,77.9,24.4
"		108",서울,2024-08-05,3.4,24.5,12.92
"		108",서울,2024-08-06,6.2,44.6,18.84
"		108",서울,2024-08-07,7.6,54.7,20.7
"		108",서울,2024-08-08,2.4,17.3,10.94
"		108",서울,2024-08-09,6,43.5,15.55
"		108",서울,2024-08-10,4.3,31.2,15.76
"		108",서울,2024-08-11,4.4,31.9,17.14
"		108",서울,2024-08-12,4.1,29.9,13.51
"		108",서울,2024-08-13,7.5,54.7,20.81
"		108",서울,2024-08-14,4.7,34.3,12.59
"		108",서울,2024-08-15,4.1,30.1,15.98
"		108",서울,2024-08-16,6.7,49.3,17.24
"		108",서울,2024-08-17,5.3,39.3,14.73
"		108",서울,2024-08-18,6.4,47.4,17.64
"		108",서울,2024-08-19,7.1,52.6,20.08
"		108",서울,2024-08-20,7.7,57.5,19.09
"		108",서울,2024-08-21,0,0,4.68
"		108",서울,2024-08-22,1.8,13.4,7.27
"		108",서울,2024-08-23,5.6,42.1,17.48
"		108",서울,2024-08-24,2.4,18,12.04
"		108",서울,2024-08-25,5.1,38.6,15.82
"		108",서울,2024-08-26,0.3,2.3,8.21
"		108",서울,2024-08-27,3.7,28,10.04
"		108",서울,2024-08-28,11.5,87.8,23.98
"		108",서울,2024-08-29,12,91.6,24.86
"		108",서울,2024-08-30,12,91.6,24.53
"		108",서울,2024-08-31,12,92.3,24.15
"		108",서울,2024-09-01,6.9,53.1,20.05
"		108",서울,2024-09-02,0.1,0.8,5.82
"		108",서울,2024-09-03,7.4,57.4,20.85
"		108",서울,2024-09-04,10.6,82.2,22.99
"		108",서울,2024-09-05,0.9,7,6.91
"		108",서울,2024-09-06,0,0,4.41
"		108",서울,2024-09-07,7.6,59.4,18.81
"		108",서울,2024-09-08,9.1,71.7,20.01
"		108",서울,2024-09-09,6,47.2,16.38
"		108",서울,2024-09-10,9,71.4,17.2
"		108",서울,2024-09-11,5.2,41.3,12.49
"		108",서울,2024-09-12,0,0,3.78
"		108",서울,2024-09-13,0,0,4.86
"		108",서울,2024-09-14,5.1,40.8,14.61
"		108",서울,2024-09-15,8.2,66.1,18.89
"		108",서울,2024-09-16,6.2,50,17.09
"		108",서울,2024-09-17,3.5,28.2,14.62
"		108",서울,2024-09-18,6.5,52.8,17.53
"		108",서울,2024-09-19,1.4,11.4,11.47
"		108",서울,2024-09-20,0.1,0.8,3.58
"		108",서울,2024-09-21,0,0,6.31
"		108",서울,2024-09-22,7.2,59,19.34
"		108",서울,2024-09-23,11.4,94.2,22.31
"		108",서울,2024-09-24,11.1,91.7,22.03
"		108",서울,2024-09-25,6.1,50.8,13.51
"		108",서울,2024-09-26,5.9,49.2,14.01
"		108",서울,2024-09-27,7.9,65.8,16.45
"		108",서울,2024-09-28,8.2,68.9,18.07
"		108",서울,2024-09-29,7.3,61.3,18.06
"		108",서울,2024-09-30,8,67.8,16.77
"		108",서울,2024-10-01,2.2,18.6,7.73
"		108",서울,2024-10-02,9.5,80.5,20.66
"		108",서울,2024-10-03,7.3,62.4,15.9
"		108",서울,2024-10-04,10.9,93.2,20.32
"		108",서울,2024-10-05,9.7,83.6,17.31
"		108",서울,2024-10-06,0,0,3.65
"		108",서울,2024-10-07,1.8,15.5,9.33
"		108",서울,2024-10-08,6.8,59.1,14.54
"		108",서울,2024-10-09,8.1,70.4,16.61
"		108",서울,2024-10-10,6.3,55.3,13.91
"		108",서울,2024-10-11,9.5,83.3,16.05
"		108",서울,2024-10-12,10.4,91.2,18.19
"		108",서울,2024-10-13,4.7,41.6,11.43
"		108",서울,2024-10-14,0,0,4.71
"		108",서울,2024-10-15,0,0,4.59
"		108",서울,2024-10-16,6.8,60.7,13.84
"		108",서울,2024-10-17,7.5,67,14.7
"		108",서울,2024-10-18,0,0,1.54
"		108",서울,2024-10-19,2.1,18.9,8.19
"		108",서울,2024-10-20,10,90.1,17.47
"		108",서울,2024-10-21,1.1,10,8.92
"		108",서울,2024-10-22,0,0,1.27
"		108",서울,2024-10-23,2.9,26.6,9.76
"		108",서울,2024-10-24,9.9,90.8,16.03
"		108",서울,2024-10-25,7.9,72.5,14.88
"		108",서울,2024-10-26,9.7,89.8,16.04
"		108",서울,2024-10-27,0.2,1.9,5.27
"		108",서울,2024-10-28,1.9,17.6,8.92
"		108",서울,2024-10-29,0.2,1.9,6.22
"		108",서울,2024-10-30,9.6,89.7,14.75
"		108",서울,2024-10-31,9.4,87.9,14.38
"		108",서울,2024-11-01,0.1,0.9,5.83
"		108",서울,2024-11-02,9.6,90.6,14.31
"		108",서울,2024-11-03,8.2,77.4,13.13
"		108",서울,2024-11-04,6.7,63.8,11.74
"		108",서울,2024-11-05,8.8,83.8,13.47
"		108",서울,2024-11-06,9.7,92.4,14.98
"		108",서울,2024-11-07,9.7,93.3,14.42
"		108",서울,2024-11-08,9.6,92.3,13.87
"		108",서울,2024-11-09,8.9,86.4,13.18
"		108",서울,2024-11-10,6.8,66,11.42
"		108",서울,2024-11-11,9.3,90.3,12.95
"		108",서울,2024-11-12,9.3,90.3,13.02
"		108",서울,2024-11-13,8.6,84.3,12.26
"		108",서울,2024-11-14,0,0,3.57
"		108",서울,2024-11-15,5.5,53.9,9.84
"		108",서울,2024-11-16,,0,
"		108",서울,2024-11-17,4.1,40.6,8.47
"		108",서울,2024-11-18,9.3,92.1,13.68
"		108",서울,2024-11-19,7.4,73.3,9.9
"		108",서울,2024-11-20,0.3,3,3.75
"		108",서울,2024-11-21,3.2,32,6.57
"		108",서울,2024-11-22,9.2,92,12.57
"		108",서울,2024-11-23,9.2,92,11.87
"		108",서울,2024-11-24,9.1,91.9,11.89
"		108",서울,2024-11-25,6.8,68.7,9.9
"		108",서울,2024-11-26,0.9,9.1,4.35
"		108",서울,2024-11-27,0.3,3,0.82
"		108",서울,2024-11-28,4.5,45.9,8.16
"		108",서울,2024-11-29,5.4,55.1,8.35
"		108",서울,2024-11-30,2.4,24.5,4.74
"		108",서울,2024-12-01,2.4,24.5,7.01
"		108",서울,2024-12-02,2.3,23.5,5.09
"		108",서울,2024-12-03,8.9,91.8,11.61
"		108",서울,2024-12-04,8.9,91.8,11.12
"		108",서울,2024-12-05,6.7,69.1,9.89
"		108",서울,2024-12-06,9.1,93.8,11.69
"		108",서울,2024-12-07,7.2,74.2,10.86
"		108",서울,2024-12-08,9.1,93.8,11.62
"		108",서울,2024-12-09,8.3,85.6,10.61
"		108",서울,2024-12-10,8.4,87.5,10.52
"		108",서울,2024-12-11,6.9,71.9,8.65
"		108",서울,2024-12-12,6.7,69.8,10.06
"		108",서울,2024-12-13,5.2,54.2,7.14
"		108",서울,2024-12-14,9,93.8,11.11
"		108",서울,2024-12-15,6,62.5,8.76
"		108",서울,2024-12-16,3.8,39.6,5.61
"		108",서울,2024-12-17,6.2,64.6,8.26
"		108",서울,2024-12-18,9,93.8,11.38
"		108",서울,2024-12-19,8.2,85.4,10.53
"		108",서울,2024-12-20,1.4,14.6,4.9
"		108",서울,2024-12-21,2,20.8,4.03
"		108",서울,2024-12-22,9,93.8,11.47
"		108",서울,2024-12-23,7.3,76,10.29
"		108",서울,2024-12-24,9,93.8,11.06
"		108",서울,2024-12-25,3,31.3,6.46
"		108",서울,2024-12-26,8.6,89.6,11.1
"		108",서울,2024-12-27,7.3,76,9.29
"		108",서울,2024-12-28,8.3,86.5,11.01
"		108",서울,2024-12-29,6.5,67.7,9.49
"		108",서울,2024-12-30,2.6,27.1,6.29
"		108",서울,2024-12-31,9,93.8,11.57
"		",,,,,
"	",,,,,
