조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
"		108",서울,2024-11-29,76.3,54
"		108",서울,2024-11-30,81.6,63
"		108",서울,2024-12-01,89.3,78
"		108",서울,2024-12-02,79.9,47
"		108",서울,2024-12-03,48.6,26
"		108",서울,2024-12-04,52.1,27
"		108",서울,2024-12-05,62.8,29
"		108",서울,2024-12-06,49.3,33
"		108",서울,2024-12-07,56.9,40
"		108",서울,2024-12-08,46.5,27
"		108",서울,2024-12-09,56.1,38
"		108",서울,2024-12-10,58.9,39
"		108",서울,2024-12-11,50.3,37
"		108",서울,2024-12-12,45.8,27
"		108",서울,2024-12-13,42.1,30
"		108",서울,2024-12-14,51,37
"		108",서울,2024-12-15,54.1,33
"		108",서울,2024-12-16,65.9,39
"		108",서울,2024-12-17,51.8,34
"		108",서울,2024-12-18,47.1,33
"		108",서울,2024-12-19,47.4,28
"		108",서울,2024-12-20,60.9,48
"		108",서울,2024-12-21,74.1,55
"		108",서울,2024-12-22,52.9,36
"		108",서울,2024-12-23,58.5,38
"		108",서울,2024-12-24,50.3,31
"		108",서울,2024-12-25,63.1,51
"		108",서울,2024-12-26,57.9,37
"		108",서울,2024-12-27,51.4,35
"		108",서울,2024-12-28,48.3,37
"		108",서울,2024-12-29,56.1,35
"		108",서울,2024-12-30,68.5,52
"		108",서울,2024-12-31,45.8,28
"		",,,,
"	",,,,
"	",,,,
